"","CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","BF01_01","BF01_02","BF01_03","BF01_04","BF01_05","BF01_06","BF01_07","BF01_08","BF01_09","BF01_10","BF01_11","BF01_12","BF01_13","BF01_14","BF01_15","CP01_01","CP01_02","CP01_03","CP01_04","CP01_05","CP01_06","CP01_07","CP01_08","CP01_09","CP01_10","CP01_11","DD01_01","DD02","DD03","DD04","NA01_01","NA01_02","NA01_03","NA01_04","NA01_05","NA01_06","NA01_07","NA01_08","NA01_09","NA01_10","NA01_11","NA01_12","NA01_13","NA01_14","NA01_15","NA01_16","NA01_17","NA01_18","NP01_01","NP01_02","NP01_03","NP01_04","NP01_05","NP01_06","NP01_07","NP01_08","NP01_09","NP01_10","NP01_11","NP01_12","NP01_13","NP01_14","NP01_15","NP01_16","SE01_01","SE01_02","SE01_03","SE01_04","SE01_05","SE01_06","SE01_07","SE01_08","SE01_09","SE01_10","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
"53",182,NA,NA,"NARQ","interview",2024-11-13 11:25:22,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,6,6,5,5,7,3,3,42,NA,2024-11-13 11:26:04,1,0,8,8,100,100,2.84
"54",183,NA,NA,"NARQ","interview",2024-11-13 11:29:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,NA,NA,NA,NA,NA,NA,19,NA,2024-11-13 11:29:20,0,0,2,2,0,0,1.95
"55",186,NA,NA,"NARQ","interview",2024-11-13 16:23:22,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,57,503,729,15,7,9,5,2,207,NA,2024-11-13 16:45:29,1,0,8,8,100,100,1.92
"56",187,NA,NA,"NARQ","interview",2024-11-13 16:24:01,5,5,2,5,3,2,1,1,5,2,3,3,5,3,5,1,1,1,1,1,3,1,1,1,1,5,23,1,2,1,4,4,4,1,4,1,6,2,1,1,3,1,1,1,1,4,1,6,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,4,3,3,2,3,2,4,3,2,20,24,74,81,45,114,56,44,458,NA,2024-11-13 16:31:39,1,0,8,8,0,0,0.98
"57",191,NA,NA,"NARQ","interview",2024-11-14 11:17:15,2,4,2,2,4,4,2,3,4,2,4,4,4,4,4,2,2,3,2,3,2,3,2,1,2,2,40,1,2,5,5,2,3,1,5,1,5,4,1,1,2,1,1,1,1,2,1,4,1,1,1,2,2,2,1,2,1,2,1,2,2,1,2,1,3,2,3,4,2,2,3,3,2,3,6,25,87,298,88,119,53,14,690,NA,2024-11-14 11:28:45,1,0,8,8,0,0,1.06
"58",192,NA,NA,"NARQ","interview",2024-11-14 12:50:26,4,5,2,5,5,4,1,3,2,1,5,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,75,NA,NA,NA,NA,NA,92,NA,2024-11-14 12:51:58,0,0,3,3,0,0,1.87
"59",193,NA,NA,"NARQ","interview",2024-11-14 13:16:19,1,3,2,4,4,4,2,-9,2,2,3,3,4,4,4,4,4,2,2,3,3,2,3,2,2,3,21,1,2,1,5,5,4,3,5,2,5,5,3,4,4,3,3,1,5,5,2,5,2,2,2,1,1,2,2,2,1,1,1,2,1,2,2,2,3,1,3,3,1,1,4,2,2,4,5,10,55,107,29,75,33,16,330,NA,2024-11-14 13:21:49,1,0,8,8,1,1,1.72
"60",194,NA,NA,"NARQ","interview",2024-11-14 13:19:58,4,4,5,4,5,2,2,4,2,2,3,3,4,4,4,3,3,2,1,1,2,1,2,1,1,5,21,2,2,1,4,4,4,4,5,3,4,4,1,2,3,2,2,1,4,4,1,4,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,3,2,4,4,1,1,4,4,1,4,3,18,62,94,60,168,89,12,506,NA,2024-11-14 13:28:24,1,0,8,8,0,0,1.35
"61",200,NA,NA,"NARQ","interview",2024-11-15 20:24:38,1,3,5,5,2,5,4,3,4,3,3,1,4,3,3,5,5,3,4,4,4,4,4,3,4,5,21,1,2,1,3,4,2,1,6,3,5,3,5,3,5,1,4,1,3,4,4,6,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,1,4,4,1,1,4,2,1,4,15,43,256,112,48,220,66,18,778,NA,2024-11-15 20:37:36,1,0,8,8,0,0,0.79
"62",201,NA,NA,"NARQ","interview",2024-11-15 20:24:54,1,5,5,5,3,5,3,2,2,3,4,4,4,2,2,5,5,5,5,4,5,2,2,3,2,5,21,1,2,1,5,4,3,5,6,4,6,5,3,4,5,4,2,1,5,2,1,6,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,3,2,3,2,2,1,3,4,1,3,14,15,72,101,49,111,69,25,456,NA,2024-11-15 20:32:30,1,0,8,8,1,1,1.06
"63",202,NA,NA,"NARQ","interview",2024-11-15 20:26:22,1,1,5,1,1,5,5,3,1,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,23,3,1,4,6,6,6,1,6,6,6,6,6,6,1,1,6,6,6,6,6,6,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,4,1,1,4,1,1,4,1,1,4,12,30,98,91,59,102,59,9,460,NA,2024-11-15 20:34:02,1,0,8,8,1,1,1.15
"64",203,NA,NA,"NARQ","interview",2024-11-15 20:27:25,3,4,5,3,3,3,5,2,3,3,4,2,-9,2,3,3,2,2,2,3,2,2,4,1,1,2,44,1,2,1,4,3,3,3,4,2,3,2,2,2,2,2,1,1,1,2,1,3,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,3,2,3,3,1,3,3,3,2,3,53,26,102,114,64,136,69,29,593,NA,2024-11-15 20:37:18,1,0,8,8,3,2,0.77
"65",204,NA,NA,"NARQ","interview",2024-11-15 20:27:34,5,5,3,5,3,3,1,2,4,5,3,5,5,3,3,5,5,5,1,3,1,1,1,1,1,5,41,1,1,1,4,1,1,1,6,1,1,1,1,1,2,1,1,1,3,1,1,4,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,3,3,3,3,1,3,3,3,3,3,14,50,123,88,59,108,62,18,522,NA,2024-11-15 20:36:16,1,0,8,8,1,1,0.92
"66",206,NA,NA,"NARQ","interview",2024-11-15 20:29:19,-9,4,2,2,3,4,3,1,4,1,-9,4,4,4,4,1,1,1,1,1,-9,-9,1,1,1,1,46,2,2,1,-9,5,5,1,5,1,-9,5,1,1,5,1,1,1,5,1,1,5,1,1,1,-9,-9,1,1,1,1,1,1,1,-9,1,1,1,3,2,3,3,2,2,4,3,3,3,5,42,133,129,75,123,89,11,607,NA,2024-11-15 20:39:26,1,0,8,8,13,13,1.08
"67",209,NA,NA,"NARQ","interview",2024-11-15 20:40:23,3,5,2,3,2,3,1,1,2,3,3,3,5,4,4,3,3,3,1,2,1,3,3,1,1,5,20,1,2,1,4,2,4,2,6,1,3,3,1,1,4,2,1,1,4,3,1,6,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,1,3,1,3,3,1,1,2,3,2,4,20,31,112,110,53,149,59,85,619,NA,2024-11-15 20:50:42,1,0,8,8,0,0,0.77
"68",210,NA,NA,"NARQ","interview",2024-11-15 20:40:26,1,4,5,3,3,4,3,4,4,3,3,3,4,3,4,2,2,3,2,3,2,4,4,3,2,3,21,1,2,1,4,4,4,2,4,1,4,5,1,1,4,1,1,1,4,4,1,6,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,3,3,3,3,3,2,4,3,2,3,10,24,64,67,43,58,21,9,296,NA,2024-11-15 20:45:22,1,0,8,8,0,0,1.69
"69",212,NA,NA,"NARQ","interview",2024-11-15 20:41:37,1,4,5,4,5,4,2,5,4,2,3,2,5,4,5,2,3,3,1,2,4,5,4,1,1,4,21,2,2,1,6,4,3,2,6,3,4,5,1,1,4,1,3,1,4,5,2,5,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,3,2,4,3,2,2,4,4,2,4,14,17,99,153,63,187,61,14,608,NA,2024-11-15 20:51:45,1,0,8,8,1,1,0.96
"70",215,NA,NA,"NARQ","interview",2024-11-15 20:47:21,3,5,3,5,4,3,2,3,3,1,3,5,5,4,4,3,4,2,1,4,2,1,1,1,1,1,48,1,1,1,5,4,4,3,6,2,4,3,1,3,5,1,1,1,1,1,1,5,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,3,2,3,3,4,1,3,3,3,3,10,33,78,85,54,138,54,30,482,NA,2024-11-15 20:55:23,1,0,8,8,0,0,1
"71",219,NA,NA,"NARQ","interview",2024-11-15 21:18:16,2,4,4,3,4,3,2,4,2,1,3,3,5,4,3,4,4,2,2,3,2,4,4,1,4,4,21,1,2,1,5,1,2,1,4,2,3,2,2,2,4,1,2,2,3,2,1,5,1,1,2,1,2,2,1,2,2,1,2,1,2,1,1,1,3,1,3,3,1,1,3,3,2,2,6,17,34,47,25,50,26,28,233,NA,2024-11-15 21:22:09,1,0,8,8,0,0,1.98
"72",220,NA,NA,"NARQ","interview",2024-11-15 21:27:46,1,3,4,3,3,4,4,3,2,3,3,2,5,2,5,5,5,3,3,3,3,5,3,2,2,3,20,1,2,1,6,4,6,4,6,5,5,6,5,5,2,4,5,6,6,5,6,6,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,2,4,2,4,4,1,1,4,1,1,4,4,24,174,129,52,141,938,27,610,NA,2024-11-15 21:52:35,1,0,8,8,0,0,1
"73",221,NA,NA,"NARQ","interview",2024-11-15 21:44:46,2,4,2,2,3,3,2,3,3,2,3,2,3,3,3,3,3,2,2,3,2,3,2,2,2,4,21,2,2,1,3,3,3,3,2,2,3,3,2,2,2,1,3,1,2,2,1,3,1,1,1,1,2,1,1,2,2,2,1,2,1,2,2,1,3,1,3,-9,1,1,3,2,1,3,3,16,63,73,48,109,38,3,353,NA,2024-11-15 21:50:39,1,0,8,8,3,2,1.76
"74",223,NA,NA,"NARQ","interview",2024-11-15 23:40:30,2,5,2,-9,2,3,1,2,1,2,3,3,3,2,4,4,3,4,4,4,4,3,3,1,3,3,22,2,2,3,6,6,4,2,6,4,3,3,1,3,2,3,3,3,1,4,2,4,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,3,2,3,2,3,3,2,3,3,14,15,47,96,20,45,9,15,261,NA,2024-11-15 23:44:52,1,0,8,8,1,1,1.89
"75",225,NA,NA,"NARQ","interview",2024-11-16 01:45:51,4,5,3,4,5,3,2,2,3,1,4,2,5,5,3,5,5,2,3,4,1,4,5,1,1,4,21,1,2,1,3,1,4,1,5,3,2,3,3,1,1,1,3,1,2,2,3,6,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,3,2,3,3,1,2,4,3,3,3,5,14,64,71,39,80,40,22,335,NA,2024-11-16 01:51:26,1,0,8,8,1,1,1.52
"76",228,NA,NA,"NARQ","interview",2024-11-16 12:33:59,1,5,2,2,5,4,1,2,1,1,4,3,5,4,5,1,1,3,1,3,3,3,3,1,1,5,49,2,2,1,5,5,4,1,6,1,5,6,1,1,1,1,4,1,6,5,1,5,1,2,2,1,2,2,1,2,2,2,1,2,1,1,1,2,3,1,4,4,1,1,4,4,1,4,6,26,153,286,71,123,89,23,777,NA,2024-11-16 12:46:56,1,0,8,8,0,0,0.89
"77",229,NA,NA,"NARQ","interview",2024-11-16 12:47:42,3,5,1,2,4,2,1,2,3,1,4,1,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,19,862,NA,NA,NA,NA,NA,127,NA,2024-11-16 13:02:40,0,0,3,3,0,0,0.64
"78",230,NA,NA,"NARQ","interview",2024-11-16 14:43:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,-9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,25,NA,NA,NA,NA,NA,NA,30,NA,2024-11-16 14:43:55,0,0,2,2,25,25,1.62
"79",234,NA,NA,"NARQ","interview",2024-11-16 20:44:43,4,4,2,2,4,3,4,2,2,3,1,2,3,4,3,5,5,2,1,2,4,5,3,1,1,5,19,2,2,1,3,2,2,2,4,4,2,2,4,2,4,2,4,1,1,2,6,5,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,1,3,2,3,3,2,2,3,4,3,3,14,45,282,209,89,179,61,10,889,NA,2024-11-16 20:59:32,1,0,8,8,0,0,0.81
"80",235,NA,NA,"NARQ","interview",2024-11-16 20:45:13,2,5,2,5,5,4,3,3,3,2,4,3,5,4,5,4,4,2,2,2,3,3,3,2,3,5,19,1,2,3,4,3,3,3,6,2,5,4,2,3,3,2,2,1,3,3,1,4,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,3,3,3,4,2,3,3,3,2,3,41,48,124,168,53,105,94,14,647,NA,2024-11-16 20:56:00,1,0,8,8,0,0,0.8
"81",236,NA,NA,"NARQ","interview",2024-11-17 10:14:25,3,4,2,5,5,5,1,2,5,3,3,1,5,5,5,5,4,5,2,1,1,5,5,1,4,5,21,1,2,1,3,4,4,1,6,3,6,4,2,1,5,2,3,3,1,2,4,5,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,1,3,2,4,4,2,1,4,4,1,1,11,19,75,109,52,123,60,28,477,NA,2024-11-17 10:22:22,1,0,8,8,0,0,1.02
"82",238,NA,NA,"NARQ","interview",2024-11-17 15:24:09,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,5,7,5,12,NA,NA,49,NA,2024-11-17 15:24:58,0,0,6,6,100,100,2.55
"83",239,NA,NA,"NARQ","interview",2024-11-17 15:31:57,4,4,2,3,3,2,2,2,2,2,4,3,5,4,3,3,3,2,2,1,2,2,3,2,2,4,21,2,1,1,4,3,3,2,5,1,4,4,1,1,3,2,2,1,4,4,1,4,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,3,2,3,3,3,2,3,3,2,3,42,96,218,362,249,343,87,41,1438,NA,2024-11-17 15:55:55,1,0,8,8,0,0,0.37
"84",247,NA,NA,"NARQ","interview",2024-11-18 12:27:37,3,4,2,4,2,3,2,3,3,2,3,3,4,3,3,4,3,4,3,2,1,3,3,1,3,5,20,2,2,3,3,4,5,3,4,2,2,2,1,4,4,2,6,1,4,4,2,3,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,3,3,2,3,2,3,2,3,3,2,18,172,115,834,65,145,82,18,573,NA,2024-11-18 12:51:46,1,0,8,8,0,0,0.65
"85",250,NA,NA,"NARQ","interview",2024-11-18 12:41:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,19,NA,NA,NA,NA,NA,NA,31,NA,2024-11-18 12:43:47,0,0,2,2,0,0,0.61
"86",251,NA,NA,"NARQ","interview",2024-11-18 12:45:34,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,3,11,9,NA,NA,NA,NA,54,NA,2024-11-18 12:46:28,0,0,4,4,100,100,2.35
"87",253,NA,NA,"NARQ","interview",2024-11-18 12:54:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,27,NA,NA,NA,NA,NA,NA,65,NA,2024-11-18 12:55:18,0,0,2,2,0,0,0.55
"88",255,NA,NA,"NARQ","interview",2024-11-18 12:54:33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,NA,NA,NA,NA,NA,NA,24,NA,2024-11-18 12:54:57,0,0,2,2,0,0,1.42
"89",257,NA,NA,"NARQ","interview",2024-11-18 12:54:47,3,4,2,5,3,3,2,4,4,5,2,2,5,4,4,4,4,3,2,2,1,2,2,2,2,5,19,1,1,1,4,3,5,1,4,2,2,4,2,2,6,1,2,1,-9,3,2,4,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,3,2,3,3,3,2,4,3,2,1,25,18,43,51,25,79,39,21,301,NA,2024-11-18 12:59:48,1,0,8,8,1,1,1.52
"90",258,NA,NA,"NARQ","interview",2024-11-18 12:55:00,3,4,4,4,5,4,2,4,3,2,3,4,5,3,4,4,4,2,2,3,2,4,3,1,2,4,19,1,2,1,3,4,3,2,5,1,3,4,1,1,3,2,1,1,3,3,1,5,1,2,1,1,1,2,1,2,1,2,1,2,1,2,2,1,3,2,3,3,2,2,3,3,1,3,43,22,94,120,74,145,69,28,595,NA,2024-11-18 13:04:55,1,0,8,8,0,0,0.78
"91",260,NA,NA,"NARQ","interview",2024-11-18 12:56:00,5,3,2,4,5,2,2,4,2,1,2,2,3,4,3,4,4,1,2,1,1,4,3,1,1,5,19,2,2,1,3,2,3,1,5,2,1,3,2,4,2,1,4,1,3,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,3,3,3,3,3,2,3,4,2,27,16,73,95,48,78,46,20,403,NA,2024-11-18 13:02:43,1,0,8,8,1,1,1.14
"92",261,NA,NA,"NARQ","interview",2024-11-18 12:56:33,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,2,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19,13,6,NA,NA,NA,NA,46,NA,2024-11-18 12:57:19,0,0,4,4,89,89,2.15
"93",262,NA,NA,"NARQ","interview",2024-11-18 12:56:54,2,5,3,5,5,4,1,2,2,1,4,4,5,5,5,3,3,2,1,3,2,1,2,1,1,4,19,1,2,1,4,2,3,2,6,1,3,4,1,1,4,1,1,1,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,19,59,86,49,NA,NA,NA,240,NA,2024-11-18 13:00:54,0,0,5,5,0,0,1.1
"94",263,NA,NA,"NARQ","interview",2024-11-18 12:57:17,4,4,2,4,5,3,3,3,4,2,3,3,4,3,4,4,4,3,3,2,3,3,3,2,3,4,19,1,1,1,4,4,5,3,5,3,4,5,2,2,3,2,2,2,3,4,2,3,1,1,2,2,2,2,1,2,1,1,2,1,1,2,2,1,3,4,3,3,3,4,3,4,4,3,10,22,75,68,47,90,43,34,389,NA,2024-11-18 13:03:46,1,0,8,8,0,0,1.18
"95",264,NA,NA,"NARQ","interview",2024-11-18 12:57:21,3,5,2,5,5,3,1,1,4,1,4,3,5,4,5,1,1,2,1,1,1,1,1,1,1,2,19,1,2,1,3,1,1,1,6,1,4,2,1,1,3,1,1,1,2,5,1,4,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,3,1,3,3,2,2,3,4,2,3,9,15,52,67,36,80,49,12,320,NA,2024-11-18 13:02:41,1,0,8,8,0,0,1.51
"96",266,NA,NA,"NARQ","interview",2024-11-18 12:57:35,3,4,5,5,4,5,5,5,5,3,5,3,5,1,4,4,5,5,5,5,5,5,5,5,5,1,20,1,2,1,3,3,6,6,2,6,6,3,6,6,6,4,3,3,3,3,4,6,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,3,2,3,3,3,2,3,3,2,39,19,77,90,59,111,45,23,463,NA,2024-11-18 13:05:18,1,0,8,8,0,0,1
"97",267,NA,NA,"NARQ","interview",2024-11-18 12:57:41,3,5,1,3,4,3,2,3,3,2,3,3,5,3,3,3,3,2,1,1,2,3,3,1,1,5,21,1,1,1,3,1,3,1,6,2,4,6,2,3,5,1,1,1,1,1,1,4,1,1,2,2,2,1,1,2,1,2,2,1,2,1,2,1,3,2,3,3,2,2,2,3,3,3,7,20,168,120,41,88,40,20,504,NA,2024-11-18 13:06:05,1,0,8,8,0,0,1.18
"98",270,NA,NA,"NARQ","interview",2024-11-18 12:57:54,3,4,2,4,3,3,2,3,1,3,5,3,5,3,3,4,4,3,4,1,2,3,3,1,1,5,21,2,1,1,4,1,5,1,4,2,4,4,2,2,3,1,2,1,4,4,1,4,1,2,1,2,2,1,1,2,1,2,2,1,1,1,2,1,3,2,3,3,2,2,3,2,2,3,5,24,98,114,57,134,64,35,531,NA,2024-11-18 13:06:45,1,0,8,8,0,0,1.07
"99",272,NA,NA,"NARQ","interview",2024-11-18 12:58:39,5,5,1,1,5,1,4,1,5,1,1,1,5,5,3,5,5,5,1,4,1,1,5,1,4,5,21,2,2,1,1,1,1,1,6,6,1,1,6,3,1,1,6,6,1,1,6,6,1,1,2,2,1,2,1,2,1,1,2,1,2,2,2,1,4,1,4,3,2,1,4,3,1,4,2,14,37,87,35,80,45,15,315,NA,2024-11-18 13:03:54,1,0,8,8,0,0,1.75
"100",274,NA,NA,"NARQ","interview",2024-11-18 12:59:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,16,1937,NA,NA,NA,NA,NA,117,NA,2024-11-18 13:32:41,0,0,3,3,0,0,0.85
"101",275,NA,NA,"NARQ","interview",2024-11-18 13:01:07,4,5,2,4,5,3,1,3,2,1,4,1,5,3,4,1,1,4,1,4,2,4,1,1,1,4,21,1,2,1,6,2,5,1,6,1,5,5,1,1,2,1,1,1,4,4,1,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,3,4,4,1,1,4,3,1,3,8,23,62,72,41,13,53,20,292,NA,2024-11-18 13:06:00,1,0,8,8,21,21,1.49
"102",277,NA,NA,"NARQ","interview",2024-11-18 13:01:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,9,NA,2024-11-18 13:01:52,0,0,2,2,100,100,2.7
"103",278,NA,NA,"NARQ","interview",2024-11-18 13:01:52,2,4,3,4,5,3,1,3,2,4,3,3,5,3,4,5,5,3,2,2,1,3,4,1,2,5,19,1,2,1,6,4,3,4,6,2,3,6,2,1,6,2,3,1,6,4,1,4,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,3,2,3,4,1,1,4,4,1,4,8,26,56,87,45,119,33,12,386,NA,2024-11-18 13:08:18,1,0,8,8,1,1,1.36
"104",279,NA,NA,"NARQ","interview",2024-11-18 13:01:57,1,4,3,4,4,2,1,5,4,2,3,4,3,3,3,4,4,4,4,3,4,3,4,1,2,4,19,1,2,1,4,5,4,3,3,2,2,3,5,4,4,1,3,1,3,4,2,5,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2,4,3,3,3,4,2,4,4,3,23,13,106,115,52,143,35,22,509,NA,2024-11-18 13:10:26,1,0,8,8,0,0,1.06
"105",283,NA,NA,"NARQ","interview",2024-11-18 13:02:34,5,3,5,5,1,1,1,1,3,5,5,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,18,83,NA,NA,NA,NA,NA,108,NA,2024-11-18 13:04:22,0,0,3,3,0,0,1.33
